,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1783,PREUF,unknownsector,Prosperity Real Estate Investment,472461090,Small,,
1784,ESGC,services,Eros STX Global,472001635,Small,,207018260.9649123
1785,BDSX,healthcare,Biodesix,471785673,Small,StrongBuy,26254071.953255426
1786,ETH,consumergoods,Ethan Allen,471749534,Small,Hold,25053081.9968136
1787,YDWAF,basicmaterials,Yodogawa Steel Works,471629288,Small,,
1788,EMIS,healthcare,Emisphere Technologies,470998179,Small,,60852477.906976745
1789,MRUS,healthcare,Merus,470654680,Small,ModerateBuy,29088669.962917183
1790,WNARF,basicmaterials,Western Areas,470364578,Small,ModerateBuy,275067004.6783626
1791,GDEN,services,Golden Entertainment,470332895,Small,StrongBuy,28180520.9706411
1792,NVGS,industrialgoods,Navigator Holdings,470163522,Small,,55905293.935790725
1793,AVD,basicmaterials,American Vanguard,470063195,Small,,30287576.99742268
1794,RAPT,healthcare,RAPT Therapeutics,469496552,Small,StrongBuy,24555258.9958159
1795,CAL,consumergoods,Caleres,469352491,Small,ModerateBuy,37912155.977382876
1796,GAN,technology,GAN,469258532,Small,ModerateBuy,28930858.93958077
1797,PETZF,utilities,Petron,468755224,Small,,
1798,IREHF,technology,Integrated Research,468315328,Small,,
1799,DVAX,healthcare,Dynavax,468234650,Small,ModerateBuy,110172858.8235294
1800,ORTX,healthcare,Orchard Therapeutics,468219836,Small,ModerateBuy,97749443.84133612
1801,CWWGF,industrialgoods,Chaowei Power Holdings,468039426,Small,,
1802,LMMHF,financial,Langham Hospitality Investments,467649177,Small,,
1803,DLUEY,services,De La Rue,467384037,Small,,69967670.20958084
1804,PBCFF,financial,Public Financial Holdings,466614987,Small,,
1805,DMYT,financial,dMY Technology Group,466612500,Small,ModerateBuy,28750000.0
1806,ZYXI,healthcare,Zynex,466224085,Small,StrongBuy,34740989.94038748
1807,TXWHF,basicmaterials,Texwinca Holdings,465947995,Small,,
1808,JNNDF,technology,Japan Display,465391188,Small,,969564975.0
1809,MAYNF,healthcare,Mayne Pharma Group,465101872,Small,Hold,1788853353.8461537
1810,AXDX,healthcare,Accelerate Diagnostics,464792006,Small,ModerateBuy,57029693.987730056
1811,CO,healthcare,Global Cord Blood,464325106,Small,,121551074.86910996
1812,VKTX,healthcare,Viking Therapeutics,463974541,Small,StrongBuy,72951971.8553459
1813,ALPIB,financial,Alpine Banks Colorado,463900500,Small,,101956.15384615384
1814,CAOHF,industrialgoods,FDG Electric Vehicles,463378874,Small,,
1815,HMTV,services,Hemisphere Media,463154410,Small,ModerateBuy,39961553.9257981
1816,APEI,services,American Public Education,462638533,Small,ModerateBuy,14809171.991037132
1817,STRL,industrialgoods,Sterling Construction,462547677,Small,,28101316.95018226
1818,HGEN,healthcare,Humanigen,462483911,Small,StrongBuy,51616507.924107134
1819,FNKO,consumergoods,Funko,462260659,Small,Hold,49652057.89473684
1820,WSBF,financial,Waterstone Financial,461969472,Small,,25161735.947712418
1821,FRHLF,industrialgoods,Freehold Royalties,461864188,Small,StrongBuy,118731153.72750643
1822,TCS,consumergoods,Container Store Group,461568044,Small,Hold,50555097.918948516
1823,UVE,financial,Universal Insurance Holdings,461237657,Small,Hold,31334079.95923913
1824,RTNXF,technology,Renalytix AI,460989657,Small,,72029633.90625
1825,WISM,industrialgoods,Wiseman Global,460800000,Small,,122880000.0
1826,TPCO,services,Tribune Publishing Co,460313973,Small,ModerateBuy,36532855.0
1827,CLVS,healthcare,Clovis Oncology,459237223,Small,Hold,103431806.98198198
1828,LVSDF,financial,Lai Sun Development Co,459066768,Small,,612089024.0
1829,PTLKF,financial,PT Lippo Karawaci Tbk,458723940,Small,,45872394000.0
1830,DHIL,financial,Diamond Hill Investment Group,458673570,Small,,3163266.0
1831,CASA,technology,Casa Systems,458547868,Small,Hold,83524201.82149363
1832,LOVE,consumergoods,The Lovesac Company,457612958,Small,StrongBuy,14667081.987179488
1833,AFMD,healthcare,Affimed,457528887,Small,,88326039.96138996
1834,GUORF,services,GL,457516798,Small,,
1835,VHI,basicmaterials,Valhi,457458644,Small,ModerateSell,28273092.954264525
1836,CTTRF,industrialgoods,Controladora Vuela Compania de Aviacion SAB de CV,457440780,Small,,
1837,BXG,financial,Bluegreen Vacations,456651045,Small,,72484292.85714287
1838,RFP,basicmaterials,Resolute Forest,456588893,Small,ModerateBuy,81533730.89285715
1839,DSKE,industrialgoods,Daseke,455812449,Small,ModerateBuy,65023173.89443652
1840,ROGFF,basicmaterials,Roxgold,455169726,Small,StrongBuy,373089939.3442623
1841,LIFX,technology,Life360 Shs Chess Depository Interests Repr 3 Sh,455114402,Small,,156936000.68965518
1842,WLDN,services,Willdan Group,454584179,Small,ModerateBuy,12073948.97742364
1843,SBOEY,industrialgoods,Schoeller-Bleckmann Oilfield Equipment AG,454120185,Small,,126849213.68715084
1844,AWH,healthcare,Aspira Women's Health,452773347,Small,ModerateBuy,104085826.89655173
1845,MIZUF,consumergoods,Mizuno,452762028,Small,,
1846,CTBZF,utilities,Cia de Transporte de Energia Electrica,452544521,Small,,
1847,LAWS,industrialgoods,Lawson Products,451516350,Small,ModerateBuy,9030327.0
1848,ONTZF,technology,O-Net Technologies (Group),450375249,Small,,
1849,MIESF,industrialgoods,Mitsui E&S Holdings Co,450277223,Small,,125775760.61452514
1850,URGN,healthcare,Urogen Pharma,450256440,Small,StrongBuy,22093053.97448479
1851,DAWIF,industrialgoods,DAIWA INDUSTRIES,450112396,Small,,
1852,FIGM,technology,Future International Group,450000000,Small,,98901098.9010989
1853,AZKLF,technology,BrainChip Holdings,449705644,Small,,1606091585.7142856
1854,WVE,healthcare,Wave Life Sciences,449243759,Small,ModerateBuy,48777823.99565689
1855,BLBD,industrialgoods,Blue Bird,449138748,Small,,27056551.084337346
1856,MRNS,healthcare,Marinus,448203052,Small,StrongBuy,30594064.982935153
1857,EBF,services,Ennis,447771770,Small,,26093925.99067599
