,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1403,AIT,industrialgoods,Applied Tech,3115528317,Medium,ModerateBuy,38759993.99104255
1404,BIPC,utilities,Brookfield Infrastructure,3114697762,Medium,,44971090.990470685
1405,LAUR,services,Laureate Education,3106972615,Medium,Hold,210072522.98850575
1406,RAZFF,technology,Razer,3106673861,Medium,,8876211031.428572
1407,MDEVF,services,Melco International,3105062747,Medium,ModerateBuy,1552531373.5
1408,GLAPF,consumergoods,Glanbia,3102605908,Medium,StrongBuy,
1409,WTM,financial,White Mountains Insurance Group,3095589837,Medium,,3102010.9997695233
1410,UNVR,industrialgoods,Univar,3094536716,Medium,Hold,169100366.9945355
1411,DNERF,industrialgoods,Downer EDI,3092453062,Medium,,
1412,FCREY,basicmaterials,Fletcher Building,3090961560,Medium,ModerateBuy,375572486.02673143
1413,SXT,industrialgoods,Sensient Technologies,3089943441,Medium,,42357003.98903358
1414,PXBBF,financial,PT Bank Permata Tbk,3084701312,Medium,,
1415,TFAOF,technology,O2 Czech Republic as,3084042017,Medium,,
1416,CPBLF,consumergoods,ALS,3083665515,Medium,Hold,416149192.3076923
1417,AEO,consumergoods,American Eagle,3071447545,Medium,ModerateBuy,166113982.96376422
1418,LIMAF,industrialgoods,Linamar,3071253056,Medium,StrongBuy,64958820.98138747
1419,PCH,financial,PotlatchDeltic,3067466849,Medium,ModerateBuy,66873050.991933726
1420,AB,financial,AllianceBernstein,3067006973,Medium,ModerateBuy,96174567.98369394
1421,OFC,financial,Corporate Office Properties,3064627775,Medium,ModerateBuy,112175247.98682284
1422,OSB,basicmaterials,Norbord,3061758000,Medium,ModerateBuy,80700000.0
1423,SAFM,consumergoods,Sanderson Farms,3061332283,Medium,ModerateBuy,22239972.996730838
1424,NSKFF,technology,Kongsberg Gruppen ASA,3056174047,Medium,,239699925.25490198
1425,PRXXF,technology,Paradox Interactive AB,3055567680,Medium,ModerateBuy,105582850.03455424
1426,SFRGY,consumergoods,Salvatore Ferragamo,3052384000,Medium,Hold,333229694.3231441
1427,COENF,utilities,Contact Energy,3051829791,Medium,,
1428,MMSI,healthcare,Merit Medical Systems,3050666667,Medium,StrongBuy,55547462.98252003
1429,USNZY,basicmaterials,Usiminas,3049742666,Medium,ModerateBuy,1215036918.7250998
1430,JMIA,technology,Jumia Technologies AG,3049455056,Medium,ModerateBuy,81080963.99893646
1431,ALE,utilities,Allete,3049366502,Medium,,51974884.983807735
1432,JKS,industrialgoods,JinkoSolar,3046702318,Medium,Hold,44470913.9979565
1433,GDOT,financial,Green Dot,3046208553,Medium,ModerateBuy,53479784.989466295
1434,BEPTF,utilities,Beach Energy,3045580430,Medium,ModerateBuy,2272821216.41791
1435,CWST,services,Casella Waste,3045386885,Medium,StrongBuy,50722632.99467022
1436,PACW,financial,Pacwest Bancorp,3039120781,Medium,ModerateBuy,118484240.97465888
1437,HSKCF,consumergoods,Haseko,3038893733,Medium,,
1438,QUILF,financial,Quilter,3035816913,Medium,Hold,1785774654.7058823
1439,PBDIF,financial,PT Bank Danamon Indonesia Tbk,3029801389,Medium,,
1440,DNLMY,consumergoods,Dunelm Group,3026891673,Medium,,184679174.67968273
1441,FHB,financial,First Hawaiian,3026428882,Medium,ModerateSell,130787764.99567847
1442,RPHCF,consumergoods,Rohto Pharmaceutical Co,3022859425,Medium,,
1443,GTWCF,financial,Greentown China Holdings,3019393953,Medium,,
1444,YUEXF,financial,Yuexiu Property Co,3019044600,Medium,,
1445,NDBKF,financial,Nedbank Group,3018734437,Medium,,
1446,TSPCF,services,Cleanaway Waste Management,3015584357,Medium,ModerateBuy,
1447,AVT,technology,Avnet,3013306454,Medium,ModerateBuy,98829335.97900951
1448,CYYHF,consumergoods,China Yongda Automobiles Services,3012990616,Medium,,1969274912.4183006
1449,IBP,industrialgoods,Installed Building Products,3012536083,Medium,StrongBuy,29800534.998516172
1450,PGNY,services,Progyny,3007053887,Medium,ModerateBuy,86633646.98934025
1451,KMT,industrialgoods,Kennametal,3003766474,Medium,Hold,83276031.99334627
1452,FNB,financial,F.N.B.,3003730136,Medium,ModerateBuy,322634815.89688504
1453,APEMY,basicmaterials,Aperam SA,2999860500,Medium,Hold,76390641.71122994
1454,APLE,financial,Apple Hospitality REIT,2996229813,Medium,ModerateBuy,223266006.9299553
1455,GMALF,services,Genting Malaysia Bhd,2996214913,Medium,,4832604698.387096
1456,PTVE,basicmaterials,Pactiv Evergreen,2995736876,Medium,StrongBuy,177157709.99408633
1457,SZNTF,financial,Shenzhen Investment,2994814033,Medium,,8808276567.647058
1458,DQ,basicmaterials,Daqo New Energy,2994058234,Medium,ModerateBuy,69483829.98375493
1459,BCHEY,utilities,Beach Energy,2989687735,Medium,ModerateBuy,111722262.14499252
1460,FSKR,financial,FS KKR Capital Corp. II,2989218642,Medium,ModerateBuy,170131965.9647126
1461,CNMD,healthcare,Conmed,2987150999,Medium,Hold,28601598.99463807
